targetWord,intercept,intercept_se,slope,slope_se
ant,0.9150399771559111,0.02911722803959161,0.009033885398819703,0.006115841178891309
artichoke,0.7877586955528132,0.0733132614363555,-0.007825004856254857,0.015398864982670098
caramel,0.676382716049383,0.19576732404374375,0.03378240740740736,0.04111936274428681
carrot,0.8218056742103177,0.09496929032564534,0.027953666013367486,0.019947540875591266
clothespin,0.8661289510103639,0.09542167775376995,-0.021404701830269518,0.0200425612414714
coaster,0.46837031432529636,0.150711984692876,0.05512896497007714,0.03165584858846528
cork,0.7919901316511485,0.09222163059731324,0.005501871010345588,0.01937041689630088
cornbread,0.5073895020005686,0.16094647001771564,0.06076882931734574,0.03380552048406276
dumpling,0.5861030110049718,0.17738738053706077,0.034122674710909996,0.0372588024185916
foam,0.7588119440758758,0.1033214076358204,0.0114734692122463,0.021701836404926827
fox,0.8929052423912105,0.06965740990175705,0.002976003111457427,0.014630982568560881
freezer,0.8461985676980709,0.11155285350263884,-0.0639152538429031,0.022145100648724006
gutter,0.5286097691894794,0.09434031482315397,0.014675461414591846,0.01981542959516924
hamster,0.8836837765409192,0.0668726042700709,0.012659760874046598,0.014046056388970008
headdress,0.23041661108888012,0.17279396757240056,0.09139322395624914,0.03629399271477214
horn,0.6843940833522911,0.05360734091115521,0.014905557817758246,0.010641950633382136
koala,0.8020205932849609,0.09996870565921222,0.021879903302317125,0.02099762813409796
oatmeal,0.646699676222064,0.1416539869825217,0.032758025349443276,0.02975328851921822
pistachio,0.733452220294325,0.11091829180549159,0.033112543262919264,0.02201912957573107
pump,1.010312684731289,0.029071094674088634,-0.018360515453538676,0.0061061512339528595
sandbag,0.7785436731290387,0.09844034836066314,0.007907859078590802,0.02067660889113239
ski,0.8332133633180364,0.08090950388716851,0.010853230180961305,0.016994395035268336
sprinkler,0.9532825891890218,0.048347031772052705,-0.012753643367678424,0.010154907856841224
swordfish,0.17889913629044085,0.09647453300869638,0.07175889328063238,0.020263705078197056
teapot,0.4554263854733334,0.0744591955479219,0.051318093747671246,0.015639559289775316
telescope,0.5247412008281572,0.24901162375160324,0.06907062341844952,0.049311649486056416
treasure,0.6709498305495035,0.10533973250833932,0.044703159041394366,0.022125769423239818
turkey,0.7778306878306879,0.11196750076544171,0.03647817460317458,0.023517879207035845
watermelon,0.9312772112772111,0.10492086541517237,-0.004047949047949022,0.02203778973597736
waterwheel,0.3402847966560109,0.13863466030747026,0.08663666394424939,0.029119103067680854
